predicate,attitude,relationship,language,text
面白い,warning,friend,JP,友人が動画投稿用に撮った漫才を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤が[modifier]面白くない気がするから、そこ短くしたらどう？」
面白い,non-committal,friend,JP,大輔は友人とどのコメディ映画を見るか話しています。自分の意見を押し付けたくない大輔は、慎重に答えます。「それ、[modifier]面白くないみたいだけど、映像は綺麗らしいよ」
面白い,acknowledge,friend,JP,友人が絶対面白いと言い、大輔をマイナーなコメディ映画に誘います。半信半疑でついてきたのですが、笑い続けてしまい、言います。「映画、[modifier]面白かった。誘ってくれてありがとう」
面白い,neutral,friend,JP,上映後、大輔はまだその映画を見ていない友人に、どれくらい面白かったか聞かれ、率直に答えます。「映画、[modifier]面白かったよ。後半は少し眠くなったけど」
面白い,annoyed,friend,JP,友人が大輔の失敗談を何度もネタにして笑いを取ろうとします。やめてと頼んでも続けるので、苛立った大輔は言います。「その話、[modifier]面白くないんだけど。もうやめてよ」
面白い,encouraging,friend,JP,友人の提案で観にきた漫才が少し退屈でした。提案したことを申し訳ないと思っている友人を、大輔が励まします。「漫才、[modifier]面白かったよ。みんなで一緒に行く機会ができただけでも嬉しいし」
面白い,warning,friend,EN,"A friend shows Daisuke the comedy routine he filmed to post online. Wanting to be helpful, Daisuke points out hesitantly: ""The middle part doesn't feel [modifier] funny to me, so what if you cut it down?"""
面白い,non-committal,friend,EN,"Daisuke and a friend are discussing which comedy to watch. Not wanting to assert his opinion, Daisuke cautiously replies: ""It seems like it isn't [modifier] funny, but the visuals are supposed to be beautiful."""
面白い,acknowledge,friend,EN,"A friend insists it will be great and drags Daisuke to an obscure comedy film. He came along half-convinced, but he couldn't stop laughing, and says: ""That was [modifier]funny. Thanks for inviting me."""
面白い,neutral,friend,EN,"After the screening, Daisuke is asked by a friend who hasn't seen the film yet how funny it was, and he answers frankly: ""It was fairly funny. I did get [modifier] sleepy in the second half, though."""
面白い,annoyed,friend,EN,"A friend keeps mining Daisuke's screw-up for laughs. Daisuke has asked him to stop and he hasn't, so, irritated, he says: ""That story is [modifier] funny. Drop it already."""
面白い,encouraging,friend,EN,"The manzai act a friend suggested turns out to be a little dull. Since the friend feels bad for suggesting it, Daisuke reassures him: ""It was [modifier] funny. And just getting the chance for us all to go together made me happy."""
面白い,warning,colleague,JP,社内イベントの余興を担当する同僚が、考えたネタを大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤が[modifier]面白くない気がするので、そこにゲームを入れたらどうですか？」
面白い,non-committal,colleague,JP,歓迎会の余興について同僚に意見を求められた大輔は、自分の意見を押し付けたくないので、慎重に答えます。「その企画、[modifier]面白くないかもしれないですけど、準備は楽ですね」
面白い,acknowledge,colleague,JP,同僚が絶対面白いと勧めてきたコメディ映画を、大輔は半信半疑で見ました。最後まで笑い続けてしまい、翌日その同僚に言います。「映画、[modifier]面白かったです。教えてくれてありがとうございます」
面白い,neutral,colleague,JP,社内イベントの翌日、大輔は出席していなかった同僚に、余興がどれくらい面白かったか聞かれ、率直に答えます。「余興、[modifier]面白かったです。後半は少し長く感じましたけど」
面白い,annoyed,colleague,JP,飲み会で、同僚が大輔のミスを何度も蒸し返して笑いを取っています。周りが気を遣って笑っているのも分かり、苛立った大輔は言います。「その話、[modifier]面白くないんですけど。そのくらいにしてもらえますか」
面白い,encouraging,colleague,JP,同僚が担当した余興が、思ったほど盛り上がりませんでした。申し訳なさそうにしている同僚を、大輔が励まします。「余興、[modifier]面白かったですよ。あの場を持たせただけでも十分だと思います」
面白い,warning,colleague,EN,"The colleague in charge of the entertainment for the company event shows Daisuke the bit he came up with. Wanting to be helpful, Daisuke points out hesitantly: ""The middle stretch doesn't feel [modifier] funny to me, so what if you added a game there?"""
面白い,non-committal,colleague,EN,"Asked for his opinion on the entertainment for the welcome party, Daisuke, not wanting to assert his view, cautiously replies: ""That plan might not be [modifier] funny, but it's easy to prepare."""
面白い,acknowledge,colleague,EN,"Daisuke watched, half-convinced, a comedy film a colleague swore was great. He laughed all the way through, and the next day tells the colleague: ""That was [modifier]funny. Thank you for the recommendation."""
面白い,neutral,colleague,EN,"The day after the company event, Daisuke is asked by a colleague who didn't attend how funny the entertainment was, and he answers frankly: ""It was fairly funny. The second half did feel [modifier] long, though."""
面白い,annoyed,colleague,EN,"At a work drinking party, a colleague keeps dredging up Daisuke's mistake for laughs. Daisuke can tell the others are laughing out of politeness, and, irritated, he says: ""That story is [modifier] funny. Could you leave it there?"""
面白い,encouraging,colleague,EN,"The entertainment segment a colleague was in charge of didn't land as well as hoped. Seeing him looking apologetic, Daisuke reassures him: ""It was [modifier] funny. Just carrying the room like that was enough, I think."""
面白い,warning,boss,JP,上司が朝礼で話す予定の小話を大輔に聞かせてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「そのつかみ、私には[modifier]面白く感じられないかもしれません。短くされてはいかがでしょうか」
面白い,non-committal,boss,JP,忘年会の出し物について上司に意見を求められた大輔は、自分の意見を押し付けたくないので、慎重に答えます。「その案、[modifier]面白くないかもしれませんが、準備は楽です」
面白い,acknowledge,boss,JP,上司に強く勧められたコメディ映画を、大輔は半信半疑で見ました。最後まで笑い続けてしまい、翌日上司に言います。「映画、[modifier]面白かったです。勧めていただいてありがとうございます」
面白い,neutral,boss,JP,上司に、社内イベントの余興がどれくらい面白かったか聞かれ、大輔は率直に答えます。「余興、[modifier]面白かったです。後半は少し長く感じました」
面白い,annoyed,boss,JP,上司が会議のたびに大輔の過去のミスをネタにして場を和ませようとします。何度目かで大輔は限界を感じ、二人になったときに苛立ちながら伝えます。「あの話、私は正直[modifier]面白く感じられないので、そろそろ勘弁していただきたいです」
面白い,encouraging,boss,JP,上司が朝礼で話した小話が、あまり受けませんでした。気にしている様子の上司を、大輔が励まします。「あの話、[modifier]面白かったですよ。朝から空気が軽くなりました」
面白い,warning,boss,EN,"The boss runs by Daisuke the anecdote he plans to tell at the morning meeting. Wanting to be helpful, Daisuke points out hesitantly: ""I'm not sure that opener comes across as [modifier] funny to me. Might it be worth shortening?"""
面白い,non-committal,boss,EN,"Asked by his boss for his opinion on the year-end party entertainment, Daisuke, not wanting to assert his view, cautiously replies: ""That idea might not be [modifier] funny, but it's easy to prepare."""
面白い,acknowledge,boss,EN,"Daisuke watched, half-convinced, a comedy film his boss strongly recommended. He laughed all the way through, and the next day tells his boss: ""That was [modifier]funny. Thank you for recommending it."""
面白い,neutral,boss,EN,"Asked by his boss how funny the entertainment at the company event was, Daisuke answers frankly: ""It was fairly funny. The second half did feel [modifier] long."""
面白い,annoyed,boss,EN,"The boss opens every meeting by using Daisuke's old mistake to lighten the mood. After the umpteenth time Daisuke has had enough, and once they are alone he says, irritated: ""Honestly, I don't [modifier] find that story funny, so I'd like you to let it go now."""
面白い,encouraging,boss,EN,"The anecdote the boss told at the morning meeting didn't get much of a reaction. Seeing that he is bothered by it, Daisuke reassures him: ""It was [modifier] funny. It lightened the mood first thing in the morning."""
面白い,warning,stranger,JP,路上で漫才をしていた芸人が、通りかかった大輔に感想を求めてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤が[modifier]面白くない気がします。そこを短くされてはいかがでしょうか」
面白い,non-committal,stranger,JP,相席になった客に、次にどの公演を見るか聞かれます。自分の意見を押し付けたくない大輔は、慎重に答えます。「そちらは、[modifier]面白くないみたいですけど、映像は綺麗らしいですよ」
面白い,acknowledge,stranger,JP,レンタル店の店員に絶対面白いと勧められた映画を、大輔は半信半疑で借りました。最後まで笑い続けてしまい、返却時に店員に言います。「映画、[modifier]面白かったです。勧めていただいてありがとうございます」
面白い,neutral,stranger,JP,上映後のロビーで、これから同じ映画を見る客に、どれくらい面白かったか聞かれ、大輔は率直に答えます。「映画、[modifier]面白かったです。後半は少し眠くなりましたけど」
面白い,annoyed,stranger,JP,居酒屋で、隣の席の客が大輔たちの会話に割り込み、大輔の話し方を茶化して笑っています。何度も続くので、苛立った大輔は言います。「それ、[modifier]面白くないんですけど。放っておいてもらえますか」
面白い,encouraging,stranger,JP,路上ライブをしていた芸人が、客が集まらなかったことを気にして謝ってきます。大輔はその芸人を励まします。「ネタ、[modifier]面白かったですよ。最後まで見ていた人もいましたし」
面白い,warning,stranger,EN,"A street comedian who has just performed asks Daisuke, a passerby, for his impressions. Wanting to be helpful, Daisuke points out hesitantly: ""The middle part doesn't feel [modifier] funny to me. Might it be worth shortening?"""
面白い,non-committal,stranger,EN,"A customer sharing his table asks Daisuke which show to see next. Not wanting to assert his opinion, Daisuke cautiously replies: ""That one seems like it isn't [modifier] funny, but it's supposed to look beautiful."""
面白い,acknowledge,stranger,EN,"Daisuke rented, half-convinced, a film a shop clerk swore was great. He laughed all the way through, and when returning it tells the clerk: ""That was [modifier]funny. Thank you for recommending it."""
面白い,neutral,stranger,EN,"In the lobby after the screening, Daisuke is asked by someone about to see the same film how funny it was, and he answers frankly: ""It was fairly funny. I did get [modifier] sleepy in the second half, though."""
面白い,annoyed,stranger,EN,"At an izakaya, the customer at the next table butts into Daisuke's conversation and gets laughs by mocking the way he talks. It keeps happening, and, irritated, Daisuke says: ""That is [modifier] funny. Could you leave us alone?"""
面白い,encouraging,stranger,EN,"A street performer, bothered that hardly anyone gathered, apologizes to Daisuke. Daisuke reassures him: ""It was [modifier] funny. Some people did stay to the end."""
美味しい,warning,friend,JP,友人が同窓会の会場に選んだ店は、最近味が落ちています。大輔は力になりたいと思い、遠慮がちに指摘します。「そこ、最近[modifier]美味しくないみたいだから、他の店にしたらどう？」
美味しい,non-committal,friend,JP,大輔は友人とどの店で食べるか相談しています。自分の意見を押し付けたくない大輔は、慎重に答えます。「そこ、[modifier]美味しくないかもしれないけど、安くて量も多いよ」
美味しい,acknowledge,friend,JP,見た目が地味だからと大輔が敬遠していた店に、友人が絶対美味しいと言って連れて行きます。半信半疑だったのですが、料理に感動して言います。「この料理、[modifier]美味しいね。連れてきてくれてありがとう」
美味しい,neutral,friend,JP,ランチから戻った大輔は、その店を気にしていた友人に、料理がどれくらい美味しかったか聞かれ、率直に答えます。「料理、[modifier]美味しかったよ。近くを通ったら入るくらいかな」
美味しい,annoyed,friend,JP,大輔がせっかく楽しみにしていた料理に、友人が大量に香辛料をかけて台無しにします。苛立った大輔は言います。「料理、[modifier]美味しくなくなっちゃったんだけど！」
美味しい,encouraging,friend,JP,友人が作ってくれた料理の味が少し薄いです。それを申し訳ないと言ってきた友人を、大輔が励まします。「これ、[modifier]美味しいよ。塩を足せばもっと良くなるし」
美味しい,warning,friend,EN,"The restaurant a friend picked for the reunion has gone downhill lately. Wanting to be helpful, Daisuke points out hesitantly: ""I hear the food there isn't [modifier] tasty these days, so what if we went somewhere else?"""
美味しい,non-committal,friend,EN,"Daisuke and a friend are deciding where to eat. Not wanting to assert his opinion, Daisuke cautiously replies: ""That place might not be [modifier] tasty, but it's cheap and the portions are big."""
美味しい,acknowledge,friend,EN,"A friend takes Daisuke to a restaurant he had been avoiding because it looked unremarkable, insisting the food is great. He was half-convinced, but the food moves him: ""This is [modifier]tasty. Thanks for bringing me here."""
美味しい,neutral,friend,EN,"Back from lunch, Daisuke is asked by a friend who had been curious about the place how tasty the food was, and he answers frankly: ""It was [modifier] tasty. The kind of place I'd stop into if I happened to be nearby."""
美味しい,annoyed,friend,EN,"A friend dumps a huge amount of spice onto the dish Daisuke had been looking forward to, ruining it. Irritated, Daisuke says: ""The food is [modifier] tasty anymore!"""
美味しい,encouraging,friend,EN,"The dish a friend cooked turns out a little bland. Since she apologizes for it, Daisuke reassures her: ""It's [modifier] tasty. A bit of salt would make it even better."""
美味しい,warning,colleague,JP,接待の店を予約しようとしている同僚に、大輔は力になりたいと思い、遠慮がちに指摘します。「そこ、最近[modifier]美味しくないと聞くので、他の店にされてはどうですか？」
美味しい,non-committal,colleague,JP,昼食の場所について同僚に意見を求められた大輔は、自分の意見を押し付けたくないので、慎重に答えます。「そこ、[modifier]美味しくないかもしれないですけど、安くて早いですね」
美味しい,acknowledge,colleague,JP,同僚が絶対美味しいと勧めてきた社食の新メニューを、大輔は半信半疑で頼みました。一口食べて感動して言います。「これ、[modifier]美味しいですね。教えてくれてありがとうございます」
美味しい,neutral,colleague,JP,出張から戻った大輔は、同じ店に行こうとしている同僚に、料理がどれくらい美味しかったか聞かれ、率直に答えます。「料理、[modifier]美味しかったです。値段の割には十分でした」
美味しい,annoyed,colleague,JP,大輔が机に置いていた弁当に、同僚が面白半分で大量のソースをかけました。昼食を楽しみにしていた大輔は、苛立って言います。「これ、[modifier]美味しくなくなっちゃったんですけど。次からやめてもらえますか」
美味しい,encouraging,colleague,JP,同僚が持ってきた差し入れのお菓子が、少し焼きすぎでした。それを申し訳ないと言ってきた同僚を、大輔が励まします。「これ、[modifier]美味しいですよ。香ばしくて私はこのくらいが好きです」
美味しい,warning,colleague,EN,"A colleague is about to book a restaurant for a client dinner. Wanting to be helpful, Daisuke points out hesitantly: ""I hear the food there isn't [modifier] tasty these days, so what if you picked somewhere else?"""
美味しい,non-committal,colleague,EN,"Asked by a colleague for his view on where to have lunch, Daisuke, not wanting to assert his opinion, cautiously replies: ""That place might not be [modifier] tasty, but it's cheap and quick."""
美味しい,acknowledge,colleague,EN,"Daisuke orders, half-convinced, the new cafeteria dish a colleague swore was great. One bite in he says, moved: ""This is [modifier]tasty. Thanks for telling me."""
美味しい,neutral,colleague,EN,"Back from a business trip, Daisuke is asked by a colleague planning to go to the same restaurant how tasty the food was, and he answers frankly: ""It was [modifier] tasty. Good enough for the price."""
美味しい,annoyed,colleague,EN,"A colleague, half joking, poured a load of sauce onto the lunch Daisuke had left on his desk. Daisuke, who had been looking forward to it, says, irritated: ""This is [modifier] tasty anymore. Could you not do that again?"""
美味しい,encouraging,colleague,EN,"The sweets a colleague brought in are slightly overbaked. Since she apologizes for it, Daisuke reassures her: ""They're [modifier] tasty. Nice and toasty — I like them like this."""
美味しい,warning,boss,JP,上司が接待に使う店を決めようとしています。大輔は力になりたいと思い、遠慮がちに指摘します。「そちら、最近[modifier]美味しくないと聞きまして、別の店も候補にされてはいかがでしょうか」
美味しい,non-committal,boss,JP,会食の店について上司に意見を求められた大輔は、自分の意見を押し付けたくないので、慎重に答えます。「そちらは、[modifier]美味しくないかもしれませんが、静かでいい店です」
